"GEO_ID","NAME","P002050","P002051","P002052","P002053","P002054","P002055","P002056","P002057","P002058","P002059","P002060","P002061","P002062","P002063","P002064","P002065","P002066","P002067","P002068","P002069","P002070","P002071","P002072","P002073","P002049","P002001","P002002","P002003","P002004","P002005","P002006","P002007","P002008","P002009","P002010","P002011","P002012","P002013","P002014","P002015","P002016","P002017","P002018","P002019","P002020","P002021","P002022","P002023","P002024","P002025","P002026","P002027","P002028","P002029","P002030","P002031","P002032","P002033","P002034","P002035","P002036","P002037","P002038","P002039","P002040","P002041","P002042","P002043","P002044","P002045","P002046","P002047","P002048"
"0500000US05085","Lonoke County, Arkansas","1","3","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","68356","2246","66110","65094","60108","4059","329","526","22","50","1016","961","270","348","257","19","20","22","10","1","1","4","0","0","7","2","0","47","14","7","1","5","4","2","1","6","1","0","0","0","1","0","5","0","0","0","0","0"
"0500000US05087","Madison County, Arkansas","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15717","759","14958","14747","14451","27","171","81","11","6","211","205","22","158","15","2","5","0","1","0","0","0","0","1","1","0","0","6","4","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US05089","Marion County, Arkansas","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16653","287","16366","16135","15963","28","99","37","4","4","231","222","13","170","22","7","5","0","1","0","1","0","0","0","2","1","0","9","5","1","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US05091","Miller County, Arkansas","0","0","5","0","0","0","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","9","43462","1038","42424","41806","30691","10589","280","196","17","33","618","592","255","202","54","5","19","15","21","11","3","1","0","4","0","1","1","17","10","3","0","1","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"0500000US05093","Mississippi County, Arkansas","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","46480","1695","44785","44250","28106","15761","120","229","1","33","535","522","267","141","32","3","18","25","16","2","11","0","0","0","1","6","0","13","4","4","2","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"0500000US05095","Monroe County, Arkansas","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8149","132","8017","7933","4549","3314","29","36","0","5","84","78","35","29","0","2","1","8","1","0","2","0","0","0","0","0","0","6","3","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0"
"0500000US05097","Montgomery County, Arkansas","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9487","361","9126","8949","8806","17","75","49","2","0","177","174","10","153","5","0","3","0","0","0","0","1","0","1","1","0","0","3","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US05099","Nevada County, Arkansas","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8997","220","8777","8671","5861","2758","28","23","1","0","106","103","54","32","10","0","0","1","0","0","0","1","0","0","3","2","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US05101","Newton County, Arkansas","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","8330","141","8189","8010","7894","5","84","22","1","4","179","172","9","154","5","2","0","0","0","0","0","0","0","0","2","0","0","6","2","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US05103","Ouachita County, Arkansas","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","1","26120(r39094)","408","25712","25339","14706","10434","80","95","4","20","373","342","200","75","18","0","7","23","11","4","4","0","0","0","0","0","0","28","11","0","0","1","1","0","0","0","0","0","13","0","1","1","0","0","0","0","0","0"
